,P_ABK,P_ADF,P_ADO,P_AEL,P_AFH,P_AIK,P_AJD,P_AKL,P_ALB,P_AOM,P_AOP,P_APF,P_APL,P_APO,P_ARC,P_ATN,P_ATU,P_AUI,P_AVV,P_AXH,P_AZW,P_BBO,P_BCO,P_BCP,P_BEB,P_BFB,P_BGK,P_BGP,P_BII,P_BIK,P_BIW,P_BJA,P_BJQ,P_BKR,P_BNI,P_BNV,P_BON,P_BQL,P_BRD,P_BSK,P_BWT,P_BWZ,P_BXP,P_BYA,P_BYX,P_CAV,P_CBQ,P_CEJ,P_CGM,P_CHL,P_CHP,P_CIP,P_CIT,P_CMD,P_CMH,P_COR,P_CPQ,P_CQZ,P_CRT,P_CRZ,P_CSB,P_CTQ,P_CUT,P_CUW,P_CWR,P_CYD,P_CZA,P_DAQ,P_DBG,P_DBP,P_DDD,P_DDI,P_DED,P_DFS,P_DGH,P_DHA,P_DII,P_DKE,P_DNH,P_DOG,P_DRC,P_DRI,P_DTB,P_DTM,P_DTY,P_DUD,P_DVJ,P_DWJ,P_DXV,P_DZO,P_DZV,P_EAL,P_EBL,P_EDY,P_EER,P_EEW,P_EFF,P_EFL,P_EGJ,P_EHJ
P_AOP,0.017123424219472223,0.03635619150846305,0.0227258625578875,0.020937383432513806,0.033705057676858476,0.0168413664825657,0.02993205976875142,0.041009996927581185,0.016291464298831434,0.02424767700213825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_APF,0.021579477750865873,0.025999132331675494,0.010301804307987867,0.007828706789754553,0.03742559398326267,0.01657018301045528,0.015632958549167353,0.024223989452603487,0.030307430178093793,0.03055181205755085,0.016881737854857002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_APL,0.023980499577782463,0.029778073292275022,0.012578671233483527,0.00849871672666369,0.03919750566044218,0.016778631231423997,0.019366030104284577,0.02738864881661868,0.03683686916663997,0.03434623695545208,0.022963240298359073,0.0065282764187831605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_APO,0.012493014728240708,0.05116898216693357,0.043972763081253065,0.03318882251601969,0.03690755593371155,0.03161160415100413,0.03620945629252058,0.05373775195335243,0.03908200129215262,0.029193794306323986,0.026844623931062725,0.034068070799504545,0.03621679285911225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ARC,0.028598100111715197,0.040027168885644844,0.02496216805487992,0.027353564539195626,0.032737808967617237,0.01724838905521717,0.03698213018472238,0.04397716443792371,0.024887701480852457,0.03551153780111456,0.011769071883543017,0.021848722983277547,0.02833785454123192,0.03789906411773118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ATN,0.011805533660112081,0.03130261845277369,0.028406847290748796,0.01663179058309948,0.04347301107583985,0.02576248388645777,0.015298054288044932,0.03318823677148254,0.03995000246557819,0.025400611843024275,0.023671201110212283,0.01836429876145417,0.01750228822182929,0.021277096418449895,0.034055225810435415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ATU,0.04810855861486412,0.023123459191910806,0.048939034113885976,0.04613214939714035,0.05068816938892214,0.0541654066725247,0.03363453649152956,0.03492914029861025,0.04570125294781071,0.01852421488214827,0.04273253169424967,0.04907602621443452,0.05286974297270704,0.04771789900026965,0.05378543672779814,0.04340206492783405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AUI,0.047949976308650354,0.02079311664950497,0.016460726897678184,0.02975230666688006,0.03846739609071908,0.028806141845100122,0.03457957063064929,0.025202135802350194,0.04119349551810415,0.03674081873067115,0.03731604589181368,0.026700404828390926,0.027384253723629265,0.06035966667403026,0.036884264205755295,0.04432905666715703,0.03569516866468039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AVV,0.024005286167840287,0.022732234492016213,0.02488906187464689,0.021960429708909147,0.03570461982713513,0.031178401899392184,0.010173332639796447,0.02399658744488463,0.04122503517281356,0.005843391652114735,0.02583386469346388,0.025026438380238433,0.028834956441791345,0.03246668263004483,0.033455973233489714,0.020881685492312955,0.02418945689758279,0.03471290782979874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AXH,0.03859939784504336,0.009726006477486093,0.02550998363386527,0.02507352996687944,0.04666531330656199,0.03720120687558586,0.014225387586988918,0.026819701005047967,0.051320491433730325,0.02183960851297532,0.03868439336476651,0.025632279668419144,0.0290296991544879,0.05007801298973466,0.04235288406944198,0.029399087894014644,0.027477324269293488,0.02717138158062195,0.01819783531082718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AZW,0.013148088264077968,0.04375548707305182,0.0347232748599545,0.025597033206995218,0.038532045079390335,0.02540794525340546,0.030804371929970674,0.047026804271607665,0.029971628334140035,0.022237005778655842,0.01672906094196871,0.025282018847394477,0.028578061253346467,0.012650213160259091,0.027926269084857947,0.017378498957044384,0.03571200113407275,0.050915520001274105,0.02661746614537362,0.043696070532715105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BBO,0.02527334772047487,0.017630905819045462,0.02605915459104802,0.023889662115652053,0.039713590948188396,0.03411552540999552,0.010605689510825158,0.019928341325858762,0.04226450691774448,0.006731043381230193,0.02726236823901907,0.026194850581746622,0.029952919457043967,0.03486366861074735,0.0342168175755696,0.02052612934773777,0.023066074698567567,0.03318685779039772,0.00523951524474975,0.015614629102223982,0.0288834959968493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BCO,0.025461260868227337,0.03619505955237526,0.01609571685262903,0.01410218440525956,0.028249430188945115,0.011367627061089543,0.027690583905002012,0.024780785399174346,0.03623389381504369,0.039963358642635845,0.02303101582648983,0.01604781013097854,0.015270589379587574,0.03779598943009653,0.02754668301265669,0.02591061236250341,0.057606831860465,0.0269273397312101,0.03413941423047461,0.039038479094348336,0.02985294709069757,0.03678335673915562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BCP,0.06878806920535094,0.03018919974096822,0.04422693497180099,0.048167926008911496,0.05291409533385143,0.05463909784211306,0.04443702584557241,0.026739604335143066,0.07545072959885851,0.05218195498445911,0.06616768661514655,0.04985539987804719,0.04533511549560893,0.08041740130717988,0.06637870728629731,0.05942790503627014,0.03875467823372925,0.03713989010484642,0.047959473235223524,0.03036271084735391,0.07370367225586626,0.04555965791135856,0.04424014975110241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BEB,0.02433023785333685,0.022602223784396303,0.02520100444426855,0.02237330670687702,0.03632498673090139,0.03173276585802291,0.01031621834782301,0.024607996444245057,0.040436792676965094,0.009747004155122477,0.02472892284350133,0.025338329621344725,0.029144169313947716,0.02983534072203575,0.033021275959597106,0.020954398702895068,0.02379557280251925,0.036680352124810835,0.009779832513903668,0.02087418022342494,0.02420760601546594,0.009495959667141146,0.034659870542170464,0.05061007620029837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BFB,0.04261608055652296,0.022820173969538157,0.021690091493582496,0.0227618843244585,0.04310323913581995,0.03311844086004032,0.021181031065556175,0.027090454481235673,0.04899978567299788,0.027516534120414427,0.03879984341463227,0.023676475350016657,0.02181886614835929,0.05478364464874438,0.04210132759189233,0.03514980274482119,0.04567540433318481,0.018445692667935686,0.02512183592017193,0.019859776131668064,0.04714568456391311,0.02269638872155805,0.024397039574504176,0.027395589024513476,0.02636074342654184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BGK,0.04537297671522182,0.02160913494335184,0.022369792846604872,0.024608054047405497,0.04340872793575332,0.033470449444247374,0.02205702439133692,0.026877328829330627,0.053920569080824765,0.02906531990190448,0.04306957029040551,0.02645087904021306,0.021821845132800725,0.05722944596097444,0.044781353820534796,0.036650781451423295,0.044347091550630546,0.022957114191467284,0.025587006331339156,0.018341814523106282,0.05019291608384684,0.022688871479208315,0.025227146093047766,0.023580061831979044,0.027789623117271713,0.005222931935229121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
