,P_ABZ,P_ADH,P_AEQ,P_AEZ,P_AGC,P_AGE,P_AGK,P_AGP,P_AHC,P_AHR,P_AHS,P_AHV,P_AHX,P_AJH,P_AKJ,P_AMT,P_ANA,P_ANK,P_APB,P_ARA,P_ARF,P_ARM,P_ASS,P_ASV,P_ATN,P_AVF,P_AVJ,P_AVN,P_AVX,P_AWX,P_AWZ,P_AXI,P_AYO,P_AZL,P_AZM,P_BAA,P_BAB,P_BAX,P_BBR,P_BCK,P_BCN,P_BCV,P_BFS,P_BGR,P_BGU,P_BHE,P_BIJ,P_BIT,P_BLH,P_BLQ
P_AHS,0.5093431588222248,0.2738052446424908,0.43393822740638877,0.1680248989371198,0.524187693941713,0.32891821122238823,0.4822105287774087,0.26420059592150547,0.19906326906872673,0.33906270731102217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AHV,0.3104752216158664,0.25372082312453226,0.5445078577291336,0.3430135715575444,0.6704396005242965,0.11014510802786193,0.25322028644068784,0.31886633205569315,0.21530059799915965,0.3366622882954435,0.33482226403876775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AHX,0.4633026451558818,0.12486532409709755,0.2683765782185823,0.17861662547147503,0.41182797426501033,0.22964622667623055,0.4371423590091012,0.09106012963613894,0.13933527182441113,0.3660160818260491,0.19222544467709274,0.23962546278937208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AJH,0.24386590606162173,0.1773809095576272,0.4530846941146232,0.26032237472854114,0.5439688287038378,0.1390850034824891,0.2106855673347403,0.2531181450231404,0.1488156014951552,0.3256959743689323,0.2935150787682864,0.14395030248881913,0.1970907436834242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AKJ,0.2958621915457463,0.5669935166050147,0.8299884378126389,0.3873771601831098,0.8349563608327455,0.4500371916041056,0.36322231212574324,0.5818250598689765,0.5193029902721158,0.3970151412738357,0.5251747717550661,0.45736218077631213,0.4786809827558734,0.3364928450854717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AMT,0.3390405296783352,0.22780620241955807,0.4903180385055833,0.24123739633681537,0.5887698354553054,0.153929538601961,0.2945414672654694,0.25833585378894525,0.15779539448206367,0.2885114651574136,0.18224457832251417,0.11039537636977936,0.18938597729418333,0.14432488988097747,0.40753360110358844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ANA,0.5295613352706995,0.43828138561907276,0.5568461796991492,0.19832645959727388,0.519152819883979,0.4956805635846959,0.5126068920830436,0.4011436308087219,0.39070207525072637,0.6075259241374592,0.3331710198075073,0.5121880845972537,0.3651948375110496,0.33052851452839627,0.3168281351194006,0.4260917210915685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ANK,0.2457264777095504,0.5583645031361465,0.9600689806130799,0.45480174173828447,1.009345360655828,0.46854469231396323,0.31371145402362277,0.5745485258284613,0.497608376300677,0.332961692390841,0.5156928118428896,0.46269394573569933,0.4882277459069738,0.35494762648197886,0.2066953924044049,0.4257440790703623,0.5767336391132917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_APB,0.7926692042669087,0.7146656811558885,0.9779355328973122,0.5151529644752388,0.9994517710858541,0.6623271340589454,0.8075923106258516,0.6729077058562473,0.6507558881385757,0.6260688012690607,0.5281568516869932,0.6466397639165555,0.5899773954223817,0.6971828239917774,0.5657628541281033,0.6087060799207201,0.6040102241243618,0.621723425890172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ARA,0.47992490431644624,0.2734306572503343,0.5682698856199329,0.19283630485686798,0.6150721099118528,0.28852546071171403,0.48547952003202827,0.27084145820934047,0.26881562658591884,0.3380756294976511,0.24025031852344503,0.3167161813820245,0.1484410141029951,0.28864977976195494,0.44290718929737,0.211434742119057,0.3753451470755955,0.4544870124211876,0.3651016470662357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ARF,0.22939595833430815,0.23987573113129412,0.5849140732759451,0.33802395350097386,0.6709760520223443,0.12025029343268034,0.22003994771380642,0.3156129665968074,0.2113104230688221,0.31147629498353613,0.33680060289998626,0.10578034570536676,0.2595855652570911,0.08183006830731054,0.3831109295665665,0.1630352808805453,0.4715526241720091,0.3823498616841573,0.6551330157739287,0.31857675302995137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ARM,0.24386590606162173,0.1773809095576272,0.4530846941146232,0.26032237472854114,0.5439688287038378,0.1390850034824891,0.2106855673347403,0.2531181450231404,0.1488156014951552,0.3256959743689323,0.2935150787682864,0.14395030248881913,0.1970907436834242,0.0,0.3364928450854717,0.14432488988097747,0.33052851452839627,0.35494762648197886,0.6971828239917774,0.28864977976195494,0.08183006830731054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ASS,0.4259233346001561,0.28414670283492544,0.39261704658160446,0.08619483062980571,0.47980139716529996,0.2904979860970194,0.40131707286259266,0.2885114651574227,0.2015814552975959,0.3377010421054962,0.15343063215956532,0.30945864543850465,0.22639123097591093,0.2599477873363828,0.41644300492941344,0.22578037079613286,0.30035290315992086,0.3897160908821879,0.5104259800734501,0.2121715515905116,0.2998539967175211,0.2599477873363828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ASV,0.5729472164999142,0.07172488290249746,0.2564958295322611,0.23612182898857242,0.4156545194612883,0.2703409215255063,0.4960070669721336,0.1483150648113228,0.15816998187422024,0.4427322130265528,0.2738052446424908,0.27545648887375274,0.1294803547615105,0.2204161653474096,0.6392704053110075,0.2392508753972187,0.47997489994353787,0.6242492636792746,0.6569629286102245,0.28303530597131815,0.273306338200093,0.2204161653474096,0.2890120018412558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_ATN,0.18186999093035405,0.25846180308062106,0.5573252188079458,0.3274404090450058,0.6490733227360941,0.08644509897172314,0.16253474419671043,0.33419903854613475,0.23229691403372624,0.2691902139780704,0.336617164135714,0.14432488988097747,0.2744177350636982,0.10527980902153189,0.39487154243712524,0.13921095277416562,0.41989816723317686,0.3970684475119527,0.7819115941060251,0.36259745639166746,0.12486532409709294,0.10527980902153189,0.33217320692271024,0.3005181631354191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AVF,0.35710893189269727,0.4426284413675615,0.7362212602305457,0.3158410573060345,0.7744772771817581,0.37719335341065763,0.4329704864084523,0.45463350910412187,0.39805389508389155,0.346266937016427,0.3223166596183725,0.38218297146722857,0.33296169239084444,0.3240529122160568,0.239751412081044,0.28452129022707673,0.40014418768247967,0.2775451512309042,0.3705918018066416,0.2584601728391762,0.3444995558133106,0.3240529122160568,0.23962546278937066,0.4734083610788658,0.39713946032407654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AVJ,0.7589100542963307,0.1675259924947202,0.28069637527223473,0.4484914424061625,0.3697323035263916,0.4343012613847678,0.6411709077421275,0.2401259994732052,0.2729301205664951,0.6036274369341859,0.4748217022810801,0.4221702443565313,0.30162137792064475,0.3322108873651056,0.8323603764958198,0.4115760756816633,0.6625021103297861,0.8125293099641487,0.9341515811871581,0.47210818418984646,0.4043103576597565,0.3322108873651056,0.4891861372554354,0.21555086634107531,0.4316505740272736,0.6546731623934584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AVN,0.4756622834115138,0.27804568791474227,0.30124516028704473,0.15779539448206154,0.4451058571995703,0.302496501996634,0.4654659794847637,0.21542491704939878,0.18224620856395088,0.33018505574167545,0.20619648596200849,0.2786705436488191,0.1867352899366887,0.31584105730603773,0.4682150137134884,0.2472657682034394,0.3589695035406285,0.43736637733638667,0.5236602118869158,0.23039540146054865,0.3223182898598125,0.31584105730603773,0.12948035476151015,0.2444907617957039,0.36142322879432265,0.2540954105166878,0.4282868850724372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AVX,0.40993411325204876,0.1968404753415103,0.23438557639088228,0.07684045025074243,0.30679680334395065,0.26407627687126284,0.37520549005381876,0.2014555060059215,0.1252399114892527,0.3780856105377858,0.21093583567666377,0.30249650199663264,0.15829593116589782,0.19671615629126585,0.3780227798040453,0.19684047534150748,0.24370882816451767,0.43774096472854324,0.5762959331632002,0.20607053667033196,0.24960632914394923,0.19671615629126585,0.13409538542592098,0.2025669028695299,0.27257771080702115,0.2725555331743368,0.36240212452930864,0.10989483968594627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AWX,0.39224245918943634,0.23014513311863477,0.44993347007329515,0.13446997281808004,0.5147043916122997,0.23674668472264085,0.39003900227766125,0.2374108511405416,0.15940732802950724,0.2850611375947268,0.10527980902153367,0.24486534918785585,0.1728901979434509,0.20183009339807345,0.40554933405645976,0.1252399114892513,0.2951253820742944,0.4137906873304818,0.5045811616810936,0.17326478533560463,0.23551096880878974,0.20183009339807345,0.10054045930688194,0.2300208140683935,0.2531891578352574,0.28352184710084266,0.4080724418808601,0.20133118695568022,0.1488156014951534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AWZ,0.7216122489301902,0.17762954765810512,0.28777628592740195,0.2733063382000958,0.47962417055367074,0.3537607457475797,0.6101522731026855,0.1868596089869321,0.14432488988097888,0.5783512631506229,0.29824206317008417,0.3514201848070681,0.167400043203049,0.3263208301030208,0.7845731178543189,0.29275190842968135,0.5805412111765382,0.7903244465364625,0.7420339970635595,0.3299364176411997,0.4161312482710057,0.3263208301030208,0.34743164011816513,0.20120523766400797,0.41287788281212007,0.5574939819602655,0.2851854566449743,0.23051972051078318,0.17787981600001865,0.29312649582183925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AXI,0.5657451475541007,0.28913795113293494,0.3078467118910604,0.12000002509076788,0.3611507828197246,0.3851876988256378,0.5539480648169658,0.22540578340397557,0.2120595978531342,0.4912559933153025,0.24025031852344786,0.41738914181753484,0.1970907436834242,0.374846240633202,0.5027591819507875,0.29665230725532005,0.24333424077236074,0.5288010943646808,0.4741369884719288,0.18673528993669083,0.4194794344161294,0.374846240633202,0.19659020699959004,0.27091410126289867,0.448979724629656,0.33941511707050065,0.4350607790070533,0.11501040703419196,0.09143471702829586,0.22578037079613605,0.22739067410213912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AYO,0.5201751567388383,0.3526974151690414,0.4992683331284932,0.14432488988098066,0.4937149279887208,0.41261477936353425,0.5441679306348447,0.32392859316582384,0.34376274634186355,0.4835089435835629,0.24037463757368593,0.4452552339964916,0.2665477086989645,0.3876591306533339,0.389591771831942,0.33803631881383595,0.1493145079375484,0.5125572135972947,0.4212451853778041,0.1730145169936872,0.43126589921280245,0.3876591306533339,0.22177620031149559,0.3611114721359081,0.456334125311418,0.28702711114308066,0.562925112761868,0.2465876062312477,0.18736014567076448,0.21667462851754538,0.3861731463975769,0.14868965220347974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AZL,0.44516734551606557,0.16815084822879423,0.2630752035035906,0.1722653422093769,0.3859264199194475,0.29314049137613307,0.43672793041496843,0.1485653331532335,0.21093583567666377,0.2918907799079811,0.20170577434783682,0.25472026625076283,0.13908500348249087,0.2728058015162553,0.43571379068788435,0.2303954014605483,0.3357560356140246,0.4730714541290859,0.5703332328475622,0.23962546278937386,0.29042697328489764,0.2728058015162553,0.20582026832841666,0.20632080501224975,0.3069872136108057,0.2854357249868921,0.34041782067960463,0.19110005225918458,0.14806479646940218,0.19172490799326178,0.24474103013761955,0.19659020699959004,0.25170317357949445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_AZM,0.6336108724076379,0.5117769102075487,0.6645939909095799,0.46106638639253056,0.7798083993979729,0.5646654528188032,0.7302371957073414,0.47888452026496314,0.547785561580287,0.34104104617224795,0.4489575469969726,0.5671918211260562,0.44311498249708914,0.61089124333373,0.5225334770517691,0.4719305589014804,0.5679737547572387,0.5584273338698871,0.6142090697677911,0.4671280906288923,0.6019729386633225,0.61089124333373,0.4592908231110291,0.5491250491531302,0.6391260314452134,0.40118294149253914,0.7281905353117548,0.4417533172915734,0.4281978043240632,0.44008152566905734,0.5783137745079432,0.4716076475060054,0.48700318473018517,0.2736809255922421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BAA,0.5352133354251205,0.13446997281807968,0.15293009547572867,0.11501040703419657,0.27810717623124237,0.32169343412573953,0.4650253008759971,0.16303528088054992,0.11039537636978256,0.5327912692950185,0.24935606080203498,0.330622761691772,0.167400043203049,0.23513638141664026,0.5226564536847695,0.25833585378894525,0.32449432918586657,0.7047418821872977,0.7090394657034157,0.3158410573060409,0.3565373823967466,0.23513638141664026,0.21068556733474492,0.1728901979434509,0.33394877020421765,0.46901844846500973,0.280321787880081,0.12436478741325807,0.08145548091515362,0.23925087539722048,0.13970985921656628,0.1153849944263503,0.26856535824400457,0.1674000432030458,0.5419302121019098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BAB,0.6651313961367235,0.2772637542835592,0.27368092559224355,0.1626606934883969,0.30298141288473074,0.4604385078716181,0.646841970490934,0.24610106510171148,0.2933907597180498,0.610075977332804,0.28677521255974464,0.47033796216948315,0.2182725665106937,0.4370333043923605,0.6248066857795003,0.3877118132404228,0.27416746672178816,0.751377504086486,0.691410111856391,0.3552483602447824,0.4808053696535952,0.4370333043923605,0.25808558544703,0.24148603443729852,0.49552558572282623,0.49745780723580546,0.4141275942802644,0.24885552411820083,0.1680248989371198,0.2583358537889488,0.28489587761924107,0.21093583567666555,0.26443686870912914,0.21093583567666271,0.5361911314368253,0.15355495120980941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BAX,0.1867352899366841,0.26307683374503366,0.556889143099287,0.3167243634604121,0.6413757846961516,0.10091504669903673,0.17700469192402402,0.3329698744692325,0.23463584473280255,0.2543456788585985,0.32466540263726923,0.14432488988097747,0.2757067572156652,0.11014510802786193,0.36593164698249814,0.13896068443224818,0.40714454836333885,0.35988393830043397,0.7438659563728136,0.3518814108070737,0.11039537636977936,0.11014510802786193,0.3235540057736604,0.3091373642844688,0.014469947727313581,0.3562660968697793,0.4365158730336036,0.34571756515315794,0.25687204716585643,0.24209852485850533,0.4021618372275263,0.4386382664372206,0.43859088838500904,0.2875276478269212,0.5941058849572632,0.3242181721915579,0.49595347935310014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BBR,0.4695702624687968,0.3355508914318429,0.44649673938817225,0.26844103919375834,0.5700167624365096,0.2754031826356336,0.44785433221174525,0.33081154171718585,0.20132955671423858,0.3832011778860347,0.2726814824660158,0.24098712799490105,0.2638260085293454,0.3221923405681355,0.5822680789943417,0.23027108241030775,0.5159829643915036,0.5126785599888664,0.5954050185296188,0.3164659130401135,0.2866730711421773,0.3221923405681355,0.17276587889321,0.3103730801983166,0.31087198664071575,0.3220663912764604,0.474261307522174,0.1682751672790337,0.1916005889430159,0.19621561960743275,0.349896520108912,0.2734306572503282,0.3747262195274368,0.28727574924356747,0.5124927526221266,0.2589607095230111,0.3836372535946967,0.2960274515212438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BCK,0.4703825558110493,0.09131039797805601,0.2588962485478382,0.18809695514221908,0.3736580174815544,0.2357472415964131,0.42310848699044784,0.05263990451076772,0.17289019794345267,0.3754964114967932,0.21630004112539164,0.2685653582440007,0.04802487384635512,0.19210112562685466,0.4667439787411063,0.20108091861376315,0.3582326940691771,0.46870669180659075,0.5983463282295158,0.18212025927227787,0.2545959472005216,0.19210112562685466,0.2454762093676389,0.11962543769861131,0.2744177350636996,0.3498320591337366,0.26357737042886503,0.20582026832841666,0.16777626083664188,0.19197517633517885,0.1869855582786079,0.2015814552975973,0.27726375428355965,0.11039537636977936,0.41676428608345273,0.14844101410299684,0.2409871279949021,0.27195285507294675,0.3068612643191296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BCN,0.49259250822947065,0.15842025021613554,0.2343855763908837,0.18761041401268155,0.36651824875132344,0.2646871370510417,0.40542338476479134,0.22515551506206205,0.043409843181940744,0.41896774299523637,0.1963415688991121,0.25372082312453054,0.17251561055129255,0.18686123922836806,0.5456256710429496,0.1862347532528581,0.40361506263642133,0.5151434399796211,0.6706492757386454,0.28790060497764647,0.23975141208105144,0.18686123922836806,0.20158145529759589,0.19659020699959145,0.26733782440853593,0.39515293938448165,0.27779541957282483,0.17763117789953684,0.11076996376193912,0.17738090955762542,0.163784455664862,0.20706997979656325,0.317951897295883,0.21068556733474633,0.5478454196553526,0.11039537636978256,0.20170577434783857,0.26610210849468485,0.2060705366703309,0.2060705366703341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BCV,0.20619485572056861,0.3398528230205974,0.6461789572092358,0.3967020421981805,0.7375174784886749,0.13409538542591815,0.15791971353229783,0.4123965511022905,0.3145761244091105,0.2691902139780704,0.39528051891758675,0.19197517633517247,0.35261524761985447,0.19110005225917925,0.4058437845495465,0.2060705366703277,0.5168597006681627,0.4308736419729099,0.8367742923440114,0.415672812960053,0.17738090955761798,0.19110005225917925,0.3911643946955748,0.38844871584475027,0.057254935175178545,0.4462757310340401,0.5170298956108375,0.4162149142201839,0.33851333544775014,0.3130882285309812,0.47881350745284884,0.5077821323771035,0.5042024868296808,0.35438886196451896,0.6371535060599104,0.4196647112647134,0.5739586327055659,0.06212023418150858,0.3489176243739272,0.34762562956328497,0.34904304314744505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BFS,0.11450987035035709,0.42753608004668736,0.7621176389261264,0.4180549384768583,0.8466550369620081,0.28783614400246205,0.18262079595610636,0.4613412745076445,0.38270064120220015,0.31621564469818964,0.39041358966982137,0.28241045023723244,0.3700308765295864,0.296880397964546,0.3564964414714863,0.2774208321806615,0.5664582908229757,0.2684410391937555,0.6465870446032049,0.35952109257009995,0.24885552411819267,0.296880397964546,0.3017456969708793,0.4657060368301397,0.23962546278936747,0.250966364108037,0.6329173000077714,0.2872757492435696,0.3650388163325004,0.33555089143183325,0.5617926530661498,0.46472632919607243,0.46718265066888875,0.3382122030082344,0.5221220211163106,0.5169788613361872,0.60460389052865,0.23014513311862483,0.3009948919451305,0.3939811539276444,0.4070869943089169,0.27804568791473727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
