,P_ABK,P_AEL,P_AJD,P_ALB,P_AOM,P_APF,P_ARC,P_ATU,P_AVV,P_AXH,P_BCO,P_BCP,P_BEB,P_BGP,P_BIK,P_BIW,P_BKR,P_BNV,P_BON,P_BQL,P_BSK,P_BWZ,P_BXP,P_CBQ,P_CHP,P_CIT,P_CMD,P_COR,P_CQZ,P_CRZ,P_CUT,P_CYD,P_DBP,P_DDD,P_DDI,P_DGH,P_DHA,P_DNH,P_DRI,P_DTB,P_DTM,P_DUD,P_DVJ,P_DWJ,P_DXV,P_DZO,P_EAL,P_EBL,P_EGJ,P_EHJ
P_BCP,2.3581476549770066,1.5001629249906603,1.0123707430360662,1.959449978765315,1.2020503788827683,1.430064950808657,2.617182746988806,1.1299492170012808,1.501557889906257,0.7312588938171157,1.6853392845538004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BEB,1.0228665396310355,0.5668134508014094,0.6318035751937056,0.8966344584029463,0.31429931796788424,0.5920428985274268,1.5700770341256836,0.6053944165584605,0.33363579769814533,0.6505723123270811,0.8777174560096785,1.2727762039715593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BGP,0.6506757591842837,0.5462223217992995,1.5750830626252552,0.49987213841739586,1.240456462742044,0.41225685402929163,0.4000651208228475,1.7355316612150307,1.4251094666691304,1.433852313996247,0.7033046083363736,1.914673722574197,0.9477695506336196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BIK,2.0901423453931773,1.3114232476554972,1.6810975013336187,0.9376972570616326,1.077127070238097,1.7014213517818355,2.4662654658544936,0.8882268216669759,1.2676491666997083,1.5059319386416419,1.7989266052832598,2.2532588167255465,0.9190803847873024,1.5970218452385339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BIW,1.538042402702464,0.7725571098844053,1.147739287397185,1.5026519438770927,1.357447244980713,0.8144622198778321,1.4858273563220794,1.5364050382404892,1.516090298010738,1.0979468472802734,0.7866767477966269,1.3110237793029011,1.1658231976253923,1.1698550692580327,2.170018470575356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BKR,1.1679647796398878,0.5185265363841355,0.6372923340610349,1.1062487902198601,0.7362187613310994,0.47846491988300716,1.347850736887569,0.9573179099667601,0.8304692141274437,0.7554699707998533,0.5644700048820811,1.2686609383580558,0.6246748372780215,0.871694843954093,1.9460117160238042,0.6557422163610577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BNV,0.491593714168511,0.5017364641365268,1.3648337085649784,0.9696300082365829,0.8766779177548715,0.3151160755954447,0.8574862529630668,1.5679239854285374,1.086307939058495,1.3576646957274814,0.745057911076176,1.8751865186985706,0.6818211281438792,0.47842949340506863,1.8632467906521868,1.0714340819674406,0.6926156378034299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BON,2.672010305884765,1.467048581074226,1.9081818623525415,1.6465871539296328,1.3124707341685466,1.5826795724136793,2.435002971574277,0.8616802278225301,1.7931746435936229,0.9249209392354912,1.6367832106499514,1.023345495908723,1.2414986049403374,1.8389408794177202,1.2240009430811236,1.7101081882567555,1.4977291003598554,2.0257435616036745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BQL,0.5046742115936032,0.8045312061941793,1.4528393592242688,1.0600748965248463,0.861062818406387,0.5174054334313322,0.5980260852102315,1.828647209893226,1.1218078531092444,1.6478882434409485,1.213867600227832,2.168290959226376,0.8441791688732015,0.3587302378769189,1.792726746245521,1.3429727038428685,1.0705733633633536,0.3136663717475494,2.4883926761079103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BSK,0.897342813644103,0.7170040781227612,1.3781988530000215,1.1606565637412345,1.045747813332983,0.5363244476275079,0.881088393766165,1.5035775522239083,1.0763188249522677,1.2633444722812663,0.42790176595666357,1.7545518838621945,0.7891551923945094,0.7422156225554138,2.3653929276288674,0.9170990538776986,0.5032474295699388,0.4857996117534785,1.941138910261217,0.8783373161780239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BWZ,2.089405816497996,1.4526102079444843,0.9040583370733981,1.8996972466158952,0.627188174203474,1.430003153834799,2.617706713396556,0.5439641909022457,0.7769539576612888,0.6072207601170048,1.693107472975778,1.1668233255871758,0.9325270412184288,1.9048257374648052,1.5701663800525276,1.8090528164751842,1.16531025450343,1.7242729498056881,1.0774927192212465,1.92005856006737,1.6747204011596477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_BXP,0.904289031716204,0.7037805856501071,0.7837011884893891,1.297212591698028,0.5454723614552042,0.3886410321227582,1.6195596368477156,1.1022529505538332,0.6425057189791288,0.7612979973941201,0.9006138723763509,1.2906192091795858,0.582410433854539,0.9113225544957827,1.8810441610736537,1.0572417943036234,0.5291649783224656,0.6625727852826023,1.5593871168674136,0.5460287974035085,0.7234104288361667,1.0919488962682766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CBQ,2.987257453684436,1.966296106444793,1.20295900126184,1.8434539678297952,0.8899526619744947,2.457494879496649,3.7239838931533273,0.5857341674373144,1.0900817097246853,0.7213579934749819,2.3284662816944004,0.9456527013174629,0.7318997585512015,2.807388444675919,1.6363549870551484,1.1325079784876895,1.7845257875119562,2.6995392561782943,1.3529594746256794,2.753907901410381,2.814392910627393,1.5206120598395036,2.238763825067614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CHP,0.5749640220686818,0.742664913714241,1.8098418754805807,1.0736869868697552,1.2267780658653162,0.4070335044430491,0.7065021284834014,1.7622280244717214,1.4453493889138536,1.3608453003442418,0.7104694793934533,1.7894801921353218,0.9144957901159021,0.603722613914208,2.228605464667339,1.152829926735359,0.7449243753079973,0.29010438687029555,2.0301454528093683,0.5177301607019186,0.4111979019737733,1.8129701616045595,0.7337404259498739,3.401464340290308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CIT,1.545360049359975,1.2044705714815853,0.4577834834167485,1.5301470025299377,0.2110966781584977,1.1498497912050727,2.3691033875497927,0.45324444487449167,0.26968492457059035,0.5078365411451647,1.5128635930172916,1.3020385040389568,0.5170742187353058,1.6426470092039531,1.3315180199983618,1.5591096548493009,0.9280265770828673,1.3657337796409674,1.5452566750910814,1.4237290572102732,1.3342685524295994,0.4733380074679423,0.7648342137372581,1.148712473093899,1.6592336801832988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CMD,1.6730151017385317,0.7719840178399158,0.7915413207108544,1.3122138028572026,0.9752030402899157,0.9298796013980415,1.8228686163199528,0.8768425747854817,1.231889879089502,0.579418449384585,0.9954494972630946,0.7307603098241409,0.8731451036460781,1.2653407570713207,1.7651743839627474,0.4397005777049655,0.6727455782589195,1.186089160637632,0.9981649789048931,1.4652448286534216,1.1905758189936289,1.1697378632367106,0.9153344050936384,0.40215523702577893,1.3541915801755253,1.1811155887122589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_COR,0.8370510994148199,0.20462848842086503,0.8069352709791904,0.560554569432416,0.6606933804496167,0.23308682855731921,0.8994378597156223,1.2485334811051512,0.7970456414697191,0.9011146802517878,0.5239495359106717,1.3614218562173197,0.5709509580488422,0.35778225466575025,1.3071468694840835,0.8919100508411703,0.6169770228045492,0.4688674107418944,1.4030598523323379,0.5342482444723761,0.7055534331300835,1.3693147444794083,0.4380640109148133,1.9458525613482764,0.6020338590406583,0.9827617079639848,0.8484684756533426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CQZ,2.161123002546738,1.0652119030263054,1.0407026714214123,1.3390416777352965,0.8588726423292158,1.0629405079664809,2.109902588599633,0.7450487785609398,1.1645646772354654,0.522154730026553,1.2458089593028328,0.6783309447400587,0.8206339930100449,1.4458351591011895,1.3801007912766508,1.0254799696551509,1.0012021020424282,1.5654459555461573,0.47727334296737334,1.9605472669149984,1.4165026188556924,1.0317959908497816,1.1076955236870696,0.22600412982777626,1.4326003272330912,1.0102170301151363,0.48921242613574417,0.8885755273591357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CRZ,1.1211081341391447,0.7733251556630063,2.040028831294379,0.39996526326066717,1.5371351539023046,0.9446649063030966,0.524690928703053,1.8644111765553317,1.7818219314093064,1.6625664376548444,0.828100951502338,2.1516840384277374,1.1287014046056876,0.37028245227762735,1.67082347739013,1.5333102726415277,1.0340601528208386,0.9162914822886746,1.9524308752436352,1.0130528878868386,0.908471051498369,2.117716790790671,1.3488241940911223,2.996445564273069,0.9046162089232916,1.9657324386829584,1.492122220323162,0.6711605020582645,1.600343646668835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CUT,1.055092057066809,0.7234838615493663,0.18355082755250168,1.236429589087891,0.2628330920527998,0.5560703993654783,1.7731746880235704,0.7050359507349675,0.3300467615798163,0.5258174811521769,0.9638577156668099,1.0461045305745735,0.4115410749820659,1.0648707054551798,1.680272592316643,1.1428519333028895,0.4938441825616149,0.8088352749274987,1.3427993774328055,0.9115721566278969,0.7760805826268308,0.761726386002672,0.26191282054402604,1.4713384268245675,0.865143888604927,0.3515423151876564,0.7707035931331149,0.5315025213500192,0.8593233332673335,1.3288429478526753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CYD,1.3450463237005037,0.7945425028676053,0.3343897955200267,1.394229456469635,0.6661413333763533,0.6093042709177455,1.8371351365019604,0.8357550615923158,0.8726595623244333,0.38155645734113575,0.9413860915881698,0.8498040216358095,0.738535316709317,1.1614427155483664,1.8896738831574718,0.7482181362632911,0.46296576142504803,0.9718153955152065,1.2647086251437196,1.13737938958208,0.9486803877810909,0.9616277868345351,0.3937567088834649,1.1450812502085397,0.9856562952210999,0.8360858945164288,0.47971386053071063,0.6388136121261715,0.7615071284187733,1.4749277399895415,0.40630059999496937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DBP,0.6102414326444896,0.6842762156816026,0.6558781505559927,1.096334358863019,0.4529778142919003,0.4325854060239044,1.1220116013524006,1.353717019925836,0.6647959694920444,1.3154043431350297,1.1373075377218251,1.833575696518365,0.5844415986635652,0.5016116063592098,1.4995156641383465,1.2844191886644325,0.8664343047762225,0.3615698970585352,2.227383677360174,0.2555150530435952,0.9079637992593974,1.4332977010665637,0.46358613877943555,2.1494185885931767,0.6739610534553774,0.9037354176060891,1.2316398311332253,0.3535120432468594,1.6663577199755857,1.199500262338517,0.5152378140987168,0.9209006443596046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DDD,0.942365609839041,0.6217972671317079,0.8433014065407677,1.2396894334646593,0.7514014317017667,0.34337964618742556,1.297217373376574,1.1248682653091922,0.8007805277428736,0.8464834264572619,0.6105261004903763,1.3112744132923781,0.6545722104790493,0.8613211685321045,2.111001224749481,0.6433943020026148,0.24435906816207134,0.5559825556740212,1.6553100211712841,0.8792317547430426,0.3263250520857227,1.230539696592178,0.37675959281538607,2.2216973592655953,0.5390371455190516,0.9059646949089211,0.8241561078020275,0.6007608521985635,1.059616441218278,1.154185993512885,0.4182302252923297,0.49913532979353104,0.7503218944715109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DDI,0.5424503875824127,0.46049323874820436,1.279136991722358,0.878839404652134,0.8715723194120418,0.40569289871577013,1.0932035225097065,1.3970453334937636,1.0104748141918554,1.141903265117058,0.6445443318132689,1.6032372981408103,0.5678757676833325,0.5451897962604133,1.7641569762471867,1.0143628668020794,0.45932744726860014,0.2889369999487415,1.7795048349974658,0.5768581040809768,0.373635674674091,1.5641766205178727,0.6658148278469466,2.6032343375101146,0.3789351347256878,1.2463915807797044,1.0620562783415644,0.4917733203919065,1.2127712197835372,0.7430140860889525,0.6669514782386503,0.8558222331205997,0.4987287772390291,0.44121082072570433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DGH,3.2683098359441853,2.312740534302423,1.7408251639713779,2.552978119250223,2.0250317482296456,2.6974042980576542,3.8292856157994475,1.8277922764210597,2.275271470853524,1.5748972342771703,2.7177122477531546,0.859921451285831,1.9562034119736822,2.99818698722831,2.636599418729838,1.0598930919381147,2.184824371468849,2.9899861498325184,1.646183557551228,2.9444057679895717,3.1915460955119457,2.365135370767122,2.4777305128392477,1.2792328559141317,3.628733072755376,2.1273304822704273,0.9724515177238037,2.20563324550238,0.8358780229895848,3.382723821766773,1.9167569811720957,1.4310095167072168,2.525481284423839,2.5275755827939994,2.987066279033807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DHA,1.6882668370097857,0.7668114039656535,0.38295779055404366,1.1381363925147803,0.4892318324920142,0.8139209721122069,1.913367279671491,0.4685750098470181,0.6079361006712103,0.3475974419315258,0.94482219777663,0.8623847768240874,0.4854131098328346,1.227669173579079,1.3099029646615585,0.9277313401890253,0.5013900066271492,1.1949236367278246,0.9254923044757454,1.5760197019562179,0.9917590993988015,0.806176586257662,0.7480593351284195,0.6350609092040291,1.1308923678910798,0.6118875308893765,0.43408594120991817,0.7390217909175205,0.47892890720710135,1.354319313417508,0.5138091610111836,0.4163927320042265,1.2619363400289907,0.6389899503751242,0.8496928813871968,1.5526885129075747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DNH,2.4107912117762815,1.4174457204684259,3.214812494650166,1.0098576058169502,2.2435070364178564,1.5626747937979741,1.1873792540240906,2.277791066105847,2.8431813256125484,2.055415090430332,1.2788390384876676,2.399887594922425,1.7296146738048823,1.1812278367742544,2.6796353975648306,2.252342165649911,1.616921522269753,1.8345882962617954,1.934859590356238,2.3678667997127696,1.5276958114554429,2.551254294443891,2.0142597181242134,4.1207961838820575,1.6612094235551094,2.8981284426870957,1.8740408927729335,1.2980575836125725,1.7151934563234406,0.9787033253078616,1.9379302159965506,1.9683236541844478,2.4457313188665135,1.7943820070544112,1.5339905434204129,4.36503689538767,1.689719669819649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DRI,2.375417218387158,1.5802585803238387,1.1203301899321174,2.0681118860642904,1.2725515010541086,1.4455265619324482,2.695445071102812,1.2596370530126484,1.586128539731413,0.758396609691058,1.7517504003349325,0.20755544595897907,1.3901295891468002,1.9752615402297358,2.547936759627779,1.4169438379051587,1.311579099152191,1.9062841577406848,1.106137822786715,2.192239584529163,1.794512358671963,1.0910797738717837,1.2617384235616362,1.4598370864005383,1.8234894367701489,1.3832289857918472,0.8248178376168482,1.4009631114170091,0.7905715297651149,2.2323929209022877,1.0550325509467633,0.8735869767266597,1.8682277621111714,1.3410851256303489,1.6627657115410157,1.193771278357432,0.9598007185546671,2.5171861127612125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DTB,2.0528506457015157,1.449831640205399,1.1382993266407786,2.000685530442924,1.2493121297958678,1.2751540036012305,2.461834038400512,1.298883878824991,1.5604582879748148,0.7949787503924128,1.5823152460802528,0.33447971147473904,1.374136652627874,1.8113114900647915,2.560419841468588,1.1422835412603187,1.1921411733393814,1.6775509371705524,1.0803022074669737,1.8422755625600153,1.6496579561812046,1.1626651163930817,1.0282571641678393,1.4675270743150892,1.6586489517143388,1.4013683159513513,0.7495493951438272,1.2642496606838836,0.8015007779116293,2.1133766858320917,1.0035192985635915,0.6962836247093255,1.6913395957479627,1.1994414778135394,1.5528047572837602,0.9942717579780066,0.9547635168022807,2.428798694504175,0.15015147681381036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DTM,1.2889867675320676,0.5103121857814737,0.9084597688722562,1.0767290252688644,0.8608204610770808,0.59472667540221,1.1867008303966695,1.1064855536747813,0.9091087025291779,0.9850457785933893,0.2769488279303321,1.518936837098994,0.6666894167629324,0.901517892989079,1.827226292677428,0.7992570473541454,0.21274965645155025,0.8070003565436207,1.620728889545862,1.1966350251682756,0.42631410439934675,1.3758868777540354,0.6913028446171269,2.052090010828577,0.8076656782203435,1.073167408834537,0.8523930444104814,0.679793573417887,1.1983218540526979,0.9815979210852513,0.6634747341435925,0.7417791640603201,1.0118559839007617,0.38664266471017206,0.5520714440113078,2.558079875231051,0.6928089060262328,1.5197599092046588,1.5808178526675616,1.4472128512027773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DUD,1.1981738962014312,1.0674327868928484,0.7164401959444797,1.4641712114303196,0.3530237706282264,0.9117931100449096,2.082248197414292,0.6373334204844306,0.43131602889869786,0.636151995700436,1.3397638027294798,1.3532682804507792,0.5426286751978894,1.3982601527281926,1.4516503851844398,1.5669598443265267,0.8740587361450703,1.0955575191970677,1.3238671278153304,1.0298844843227344,1.1058646363350335,0.27947786431394955,0.5202305383067704,1.6123841204557032,1.2053777657960631,0.30065314740511884,1.1660732643718865,0.8864819918743527,1.0622832846978345,1.6371696161079081,0.3941669104690907,0.8055744018374251,0.7838970499917204,0.7924825674951365,0.9727897167953196,2.4532366446610205,0.7806042726877764,2.2575905190519117,1.3023786022028834,1.3141307623394844,1.033924436676044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_DVJ,1.5981385420093577,0.8097396727292934,0.3142230856413466,1.2438778373059818,0.4242107248309354,0.7430064124479838,1.9137239551740248,0.4908396700578189,0.6289050044762996,0.14666173994270848,0.9974293721391517,0.7950082886740856,0.4879656327047375,1.2294058168423783,1.353470169194342,0.8553176272486047,0.5333509608503959,1.120282563567202,0.9465388450666473,1.404290383065426,1.0276293227486464,0.7156931686279943,0.6473098595927382,0.5464939758675192,1.092890630810068,0.5001795202607835,0.4441126397348009,0.71653849848234,0.49220009595179653,1.4509861855800663,0.4250216016774968,0.2708838093004721,1.0811329965362841,0.6241963322102148,0.8745165823910229,1.4753937938920185,0.2513655519611528,1.8666595317400436,0.8635846682876378,0.8401368842046237,0.7665167739241036,0.6345593787940034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
